,questions,answers,classes
0,Что такое Astana IT University (AITU / аиту)?,"Astana IT University (AITU) — это высшее учебное заведение, расположенное в Нур-Султане (ранее известном как Астана), столице Казахстана. Университет был основан в 2019 году в рамках стратегии по развитию информационных технологий в Казахстане. Astana IT University предлагает программы бакалавриата и магистратуры в области информационных технологий, включая компьютерные науки, программирование, анализ данных, кибербезопасность и другие связанные области. Университет стремится подготовить высококвалифицированных специалистов, которые смогут успешно работать в индустрии информационных технологий и вносить вклад в технологическое развитие Казахстана. Astana IT University сотрудничает с ведущими компаниями и организациями в области информационных технологий, чтобы обеспечить студентам доступ к актуальным знаниям, профессиональным практикам и возможностям стажировки. Университет также активно участвует в научных исследованиях и инновационных проектах, сотрудничая с национальными и международными научными организациями. Astana IT University стремится стать ведущим учебным заведением в области информационных технологий в Казахстане и регионе Центральной Азии, предлагая качественное образование и способствуя развитию IT-сектора в стране.",AITU_overview
1,Как поступить в Astana IT University (AITU / аиту)?,"Чтобы поступить в Astana IT University (AITU), вам следует следовать процессу приема, который включает несколько этапов. Вот общая информация о поступлении в AITU: 1. Ознакомьтесь с требованиями: на веб-сайте AITU https://admission.astanait.edu.kz или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. 2. Пройдите вступительный экзамен АЕТ. 4. Заполните заявку. 5. Предоставьте необходимые документы. 6. Получите результаты поступления.",AITU_admission_process
2,Что входит в вступительный экзамен АЕТ при поступлении в Astana IT University (AITU / аиту)?,"Вам могут потребоваться пройти отборочные испытания, которые могут включать в себя тестирование ваших знаний английского языка и компьютерной грамотности, собеседование или другие виды оценки. Точные требования могут различаться в зависимости от выбранной программы.",AITU_admission_test
3,Каковы требования для поступления в AITU?,"Ознакомьтесь с требованиями: Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования.",Admission_requirements
4,Какие документы нужны для поступления в AITU?,"Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования.",Required_documents
5,Какие сроки подачи заявлений в AITU?,"Ознакомьтесь с требованиями: Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования.",Submission_deadlines
7,Как поступить в Astana IT University (AITU / аиту)?,"Чтобы поступить в Astana IT University (AITU), вам следует следовать процессу приема, который включает несколько этапов. Вот общая информация о поступлении в AITU: 1. Ознакомьтесь с требованиями: на веб-сайте AITU https://admission.astanait.edu.kz или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. 2. Пройдите вступительный экзамен АЕТ. 4. Заполните заявку.  5. Предоставьте необходимые документы.  6. Получите результаты поступления.",AITU_admission
10,Как поступить на платное отделение Astana IT University (AITU / аиту)?,"Чтобы поступить на платное отделение в Astana IT University (AITU), вам следует следовать процессу приема, который включает несколько этапов: 1. Ознакомьтесь с требованиями: Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/international-students-remove) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования. 2. Пройдите собеседование с деканом Astana IT University. 3. Предоставьте полный пакет документов, зарегистрировавшись на платформе приема абитуриентов (https://admission.astanait.edu.kz/#rec309542619)",AITU_paid_admission
14,Сколько лет учатся в AITU (аиту) на бакалавриате?,"Срок обучения в AITU — 3 года. Студенты AITU учатся до июля месяца, тем самым закрывают больше кредитов.",AITU_bachelors_duration
15,Какова стоимость обучения у вас в университете?,"Стоимость обучения в нашем университете составляет 2,500,000 (два миллиона пятьсот тысяч) тенге в год, без учета скидок.",AITU_tuition_fees
16,Есть ли у вас общежитие?,"Да. В 15 минутах от университета расположены три дома студентов для мальчиков и для девочек,в ЖК EXPO Residence.",AITU_dormitory
17,На каком языке проводится обучение?,Обучение в Astana IT University – ведется полностью на английском языке.,AITU_instruction_language
18,Есть ли в университете военная кафедра?,"В Astana IT University имеется военная кафедра. Наши студенты могут получить звание офицер запаса, по 6 специализациям: кибербезопасность, геоинформационные системы, применение подразделений и частей топогеодезического обеспечения, организация воспитательной и идеологической работы в Сухопутных войсках, организация психологической работы, информационное обеспечение функционирования автоматизированных систем управления. Также могут получить сержант запаса, по 3 специализациям: Топогеодезия, штабные, электронно-вычислительные машины. Вы можете поступить на военную кафедру как на грант, так и на платное отделение.",AITU_military_department
19,Можно ли поступить в университет с баллами MESC?,"Вы можете поступить в университет с баллами MESC, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования.",AITU_MESC_scores_admission
20,Можно ли поступить в университет с баллами SAT?,"Вы можете поступить в университет с баллами SAT, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования.",AITU_SAT_scores_admission
21,Какой пороговый балл для поступления на грант?,"Порогового балла для поступления на грант не бывает. Для подачи заявления на грант в наш университет вам нужно набрать не менее 70 или 85 баллов (в зависимости от образовательной программы), а также не менее 5 баллов по каждому предмету на ЕНТ и сдать вступительные экзамены AET. Далее гранты будут распределяться по баллам. В первую очередь гранты получают абитуриенты с наивысшими результатами.",AITU_grant_threshold
22,Где находится Astana IT University AITU (аиту)?,"Astana IT University находится в г. Астана по адресу: Мангилик Ел 55/11, Блок С1, Expo",AITU_location
