Unnamed: 0,questions,answers,classes
0,Что такое Astana IT University (AITU / аиту)?,"Astana IT University (AITU) — это высшее учебное заведение, расположенное в Нур-Султане (ранее известном как Астана), столице Казахстана. Университет был основан в 2019 году в рамках стратегии по развитию информационных технологий в Казахстане. Astana IT University предлагает программы бакалавриата и магистратуры в области информационных технологий, включая компьютерные науки, программирование, анализ данных, кибербезопасность и другие связанные области. Университет стремится подготовить высококвалифицированных специалистов, которые смогут успешно работать в индустрии информационных технологий и вносить вклад в технологическое развитие Казахстана. Astana IT University сотрудничает с ведущими компаниями и организациями в области информационных технологий, чтобы обеспечить студентам доступ к актуальным знаниям, профессиональным практикам и возможностям стажировки. Университет также активно участвует в научных исследованиях и инновационных проектах, сотрудничая с национальными и международными научными организациями. Astana IT University стремится стать ведущим учебным заведением в области информационных технологий в Казахстане и регионе Центральной Азии, предлагая качественное образование и способствуя развитию IT-сектора в стране.",Общая информация
1,Как поступить в Astana IT University (AITU / аиту)?,"Чтобы поступить в Astana IT University (AITU), вам следует следовать процессу приема, который включает несколько этапов. Вот общая информация о поступлении в AITU: 1. Ознакомьтесь с требованиями: на веб-сайте AITU https://admission.astanait.edu.kz или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. 2. Пройдите вступительный экзамен АЕТ. 4. Заполните заявку. 5. Предоставьте необходимые документы. 6. Получите результаты поступления.","Поступление, Общая информация"
2,Что входит в вступительный экзамен АЕТ при поступлении в Astana IT University (AITU / аиту)?,"Вам могут потребоваться пройти отборочные испытания, которые могут включать в себя тестирование ваших знаний английского языка и компьютерной грамотности, собеседование или другие виды оценки. Точные требования могут различаться в зависимости от выбранной программы.",Поступление
3,Каковы требования для поступления в AITU?,"Ознакомьтесь с требованиями: Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования.",Поступление
4,Какие документы нужны для поступления в AITU?,"Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования.",Поступление
5,Какие сроки подачи заявлений в AITU?,"Ознакомьтесь с требованиями: Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования.",Поступление
7,Как поступить в Astana IT University (AITU / аиту)?,"Чтобы поступить в Astana IT University (AITU), вам следует следовать процессу приема, который включает несколько этапов. Вот общая информация о поступлении в AITU: 1. Ознакомьтесь с требованиями: на веб-сайте AITU https://admission.astanait.edu.kz или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. 2. Пройдите вступительный экзамен АЕТ. 4. Заполните заявку.  5. Предоставьте необходимые документы.  6. Получите результаты поступления.","Поступление, Общая информация"
10,Как поступить на платное отделение Astana IT University (AITU / аиту)?,"Чтобы поступить на платное отделение в Astana IT University (AITU), вам следует следовать процессу приема, который включает несколько этапов: 1. Ознакомьтесь с требованиями: Посетите официальный веб-сайт AITU (https://admission.astanait.edu.kz/international-students-remove) или свяжитесь с приемной комиссией, чтобы получить подробную информацию о требованиях к поступлению. Это включает актуальные даты и сроки подачи заявлений, необходимые документы и минимальные академические требования. 2. Пройдите собеседование с деканом Astana IT University. 3. Предоставьте полный пакет документов, зарегистрировавшись на платформе приема абитуриентов (https://admission.astanait.edu.kz/#rec309542619)","Поступление, Образовательные программы"
14,Сколько лет учатся в AITU (аиту) на бакалавриате?,"Срок обучения в AITU — 3 года. Студенты AITU учатся до июля месяца, тем самым закрывают больше кредитов.",Образовательные программы
15,Какова стоимость обучения у вас в университете?,"Стоимость обучения в нашем университете составляет 2,500,000 (два миллиона пятьсот тысяч) тенге в год, без учета скидок.",Стипендии
16,Есть ли у вас общежитие?,"Да. В 15 минутах от университета расположены три дома студентов для мальчиков и для девочек,в ЖК EXPO Residence.",Общежитие
17,На каком языке проводится обучение?,Обучение в Astana IT University – ведется полностью на английском языке.,"IT, Общая информация"
18,Есть ли в университете военная кафедра?,"В Astana IT University имеется военная кафедра. Наши студенты могут получить звание офицер запаса, по 6 специализациям: кибербезопасность, геоинформационные системы, применение подразделений и частей топогеодезического обеспечения, организация воспитательной и идеологической работы в Сухопутных войсках, организация психологической работы, информационное обеспечение функционирования автоматизированных систем управления. Также могут получить сержант запаса, по 3 специализациям: Топогеодезия, штабные, электронно-вычислительные машины. Вы можете поступить на военную кафедру как на грант, так и на платное отделение.",Военная кафедра
19,Можно ли поступить в университет с баллами MESC?,"Вы можете поступить в университет с баллами MESC, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования.",Поступление
20,Можно ли поступить в университет с баллами SAT?,"Вы можете поступить в университет с баллами SAT, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования.",Поступление
21,Какой пороговый балл для поступления на грант?,"Порогового балла для поступления на грант не бывает. Для подачи заявления на грант в наш университет вам нужно набрать не менее 70 или 85 баллов (в зависимости от образовательной программы), а также не менее 5 баллов по каждому предмету на ЕНТ и сдать вступительные экзамены AET. Далее гранты будут распределяться по баллам. В первую очередь гранты получают абитуриенты с наивысшими результатами.",Прочее
22,Где находится Astana IT University AITU (аиту)?,"Astana IT University находится в г. Астана по адресу: Мангилик Ел 55/11, Блок С1, Expo",Прочее
23,Контакты AITU (аиту)?,"Контактный номер: +7 (7172) 645-710, Email: info@astanait.edu.kz",Прочее
24,График работы?,"С понедельника по пятницу - 9:00 — 18:00, Обеденное время - 13:00 — 14:00",Прочее
25,Как поступить на Digital Journalism?,Для поступления на Digital Journalism нужно сдать творческий экзамен в нашем университете. Творческие экзамены направлены на выявление способностей у абитуриентов и личностных предпосылок к овладению профессией творческой направленности. Подробнее ознакомиться с требованиями можно на сайте: https://admission.astanait.edu.kz/digitaljournalism,Прочее
26,Когда можно сдать творческий экзамен?,Период проведения творческих экзаменов с 8 июля по 15 июля (на момент 2023 года). Экзамены пройдут в очном формате в Astana IT University,Прочее
27,На каком языке будет проходить творческий экзамен?,"Абитуриенты имеют право сдать экзамен на трёх языках, это: русский язык, казахский язык и английский язык.",Прочее
28,На каком языке будет проходить обучение Digital Journalism (DJ) Цифровая журналистика?,Обучение для поступивших на образовательную программу «Цифровая журналистика» проводится на английском языке.,Прочее
29,Как проходит творческий экзамен?,Творческий экзамен состоит из 2-х этапов. Первый этап проводится письменно в форме сочинения на одну из заданных тем. Второй этап проводится устно в форме собеседования (защита творческого проекта и ответы на вопросы комиссии).,Прочее
30,"В каком жанре, стиле нужно писать сочинение?","Сочинение на заданную тему – письменное изложение в произвольной прозаической форме и композиции индивидуальных мнений, впечатлений, размышлений. Стиль изложения – литературный или публицистический, язык – в рамках лексических, морфологических и синтаксических норм школьной программы. Основным требованием к эссе является раскрытие заявленной темы.",Прочее
31,Какие темы сочинения?,"А вот и список тем для первого этапа творческого экзамена (на момент 2023 года):
1. Роль цифровизации в моей жизни или как я представляю цифровое будущее.
2. Профессия «журналист»: мы там, где кипит жизнь!
3. Журналистика в 21 веке и ее социальная значимость.
4. Роль журналистики в «Новом Казахстане».
5. Челленджи глобализации (современные вызовы человечества).
6. Мои идеи - моей стране.
7. Молодежь - это будущее или настоящее Казахстана?",Прочее
32,На какие темы нужно делать творческий проект?,"Темы творческих проектов (абитуриент выбирает одну тему):
1. Разработайте флешмоб или лайфхак, популяризующие Образовательную программу по журналистике Университета в социальных сетях.
2. Предложите контент-план и контент-стратегию для продвижения страницы в социальных сетях: 1) страница Университета
3. Разработайте стартап проект в области цифровых медиа технологий, рекламы, PR, связей с общественностью, информационно-коммуникативных технологий.
4. Продемонстрируйте собственный видеофильм, рекламный ролик, короткометражный фильм, публикацию в СМИ и другие формы авторского медиаконтента.
Презентация проекта по одной из вышеуказанных тем обязательна, допускаются схематические и графические изображения в электронном и бумажном варианте.",Прочее
33,Как зарегистрироваться на творческий экзамен?,Для регистрации на творческий экзамен можете перейти по ссылке: https://admission.astanait.edu.kz/digitaljournalism,Прочее
34,Где можно проконсультироваться со студентами?,"Для консультации со студентами приемной комиссии можно перейти по ссылке: https://t.me/+KrO4Eh0R2ZgxYmI6
Не забудьте ознакомиться с правилами чата:
На казахском языке: https://t.me/c/1796272843/45509
На русском языке: https://t.me/c/1796272843/45510
На английском языке: https://t.me/c/1796272843/45511",Прочее
35,Можно ли посмотреть как выглядит университет?," ""Можно пройти 3D-тур по университету по ссылке: https://kuula.co/share/collection/7PDWF?fs=1&vr=1&sd=1&initload=0&thumbs=1&info=0&logo=0""",Прочее
43,Какие специальности входят в Информационные технологии?,"В Информационные технологии входят следующие специальности:
1. 6B06102 Software Engineering (Программная инженерия)
2. 6B06101 Computer Science (Компьютерные науки)
3. 6B06103 Big Data Analysis (Анализ больших данных)
4. 6B06106 Mathematical & Computational Science (Математические и вычислительные науки)
5. 6B06105 Media Technologies (Медиа технологии)",Прочее
65,1. Информационные технологии, для которых требуются профильные предметы математика и информатика,Прочее
78,Какой проходной балл необходим для поступления на бакалавриат по специальности Computer Science в Astana IT University?," ""Для поступления на специальность Computer Science в Astana IT University необходим минимальный балл 85 по профильным предметам: математика и информатика.""",Прочее
79,Какой пороговый балл на бакалавриат по специальности Computer Science в Astana IT University?," ""Пороговый балл для специальности Computer Science в Astana IT University составляет 85 баллов. Профильные предметы для этой специальности - математика и информатика.""",Прочее
80,Каковы минимальные баллы для поступления на программу Computer Science в Astana IT University?," ""Минимальный порог баллов для поступления на программу Computer Science в Astana IT University составляет 85. Профильные предметы - математика и информатика.""",Прочее
81,Каковы требования по баллам для поступления на специальность Computer Science в Astana IT University?," ""Для поступления на специальность Computer Science в Astana IT University требуется набрать минимум 85 баллов по профильным предметам - математике и информатике.""",Прочее
82,Каков проходной балл на специальность Software Engineering в Astana IT University?," ""Проходной балл для поступления на специальность Software Engineering в Astana IT University - 85. Профильные предметы - математика и информатика.""",Прочее
83,Какой проходной балл на специальность Information Security в Astana IT University?," ""Проходной балл для поступления на специальность Information Security в Astana IT University - 85. Профильные предметы - математика и информатика.""",Прочее
84,Какие предметы нужно сдавать при ЕНТ для поступления на специальность Software Engineering в Astana IT University?," ""Для поступления на специальность Software Engineering в Astana IT University вам необходимо сдать математику и информатику при ЕНТ.""",Прочее
85,Какие профильные предметы необходимо выбрать для поступления на специальность Information Security в Astana IT University при сдаче ЕНТ?," ""Для поступления на специальность Information Security в Astana IT University вам нужно выбрать математику и информатику как профильные предметы при сдаче ЕНТ.""",Прочее
86,На какие профильные предметы следует обратить внимание при сдаче ЕНТ для поступления на специальность Electrical Engineering and Automation в Astana IT University?," ""Для поступления на специальность Electrical Engineering and Automation в Astana IT University вам необходимо выбрать и сдать математику и физику как профильные предметы при сдаче ЕНТ.""",Прочее
87,Какие предметы нужны для Software Engineering?," ""Математика и информатика.""",Прочее
88,Предметы для Information Security?," ""Математика и информатика.""",Прочее
89,Нужные предметы для Communications and Communication Technologies?," ""Математика и физика.""",Общая информация
90,Что сдавать для Electrical Engineering and Automation?," ""Математика и физика.""",Прочее
91,Какие предметы для Management and Control?," ""Математика и география.""","Образовательные программы, Учебный процесс"
92,Проходной балл для Computer Science?," ""85 баллов.""",Прочее
93,Каков минимальный балл для Software Engineering?," ""85 баллов.""","Образовательные программы, Специальности"
94,Сколько нужно баллов для Information Security?," ""85 баллов.""","IT, Общая информация"
95,Проходной балл для Communications and Communication Technologies?," ""70 баллов.""",Прочее
96,Какой балл нужен для Management and Control?," ""70 баллов.""",Прочее
97,Каков минимальный балл для специальности Big Data Analysis?," ""85 баллов.""",IT
98,Проходной балл для специальности Media Technologies?," ""85 баллов.""","Образовательные программы, IT"
99,Сколько баллов нужно для специальности Mathematical & Computational Science?," ""85 баллов.""",IT
100,Каков проходной балл для специальности Electrical Engineering and Automation?," ""70 баллов.""","Образовательные программы, Специальности"
101,Каков минимальный балл для поступления на программу по Информационной безопасности?," ""85 баллов.""",IT
102,Какой минимальный балл нужен для специальности Коммуникации и коммуникационные технологии?," ""70 баллов.""",Прочее
103,Сколько баллов необходимо набрать для поступления на специальность Менеджмент и управление?," ""70 баллов.""",Прочее
104,Какой минимальный балл нужен для специальности Software Engineering?," ""85 баллов.""","Образовательные программы, Специальности"
105,Сколько баллов нужно набрать для поступления на специальность Computer Science?," ""85 баллов.""",Прочее
106,Какие предметы нужно выбрать для поступления на программу по Информационным технологиям?," ""Математика и информатика.""",IT
107,Какие предметы следует сдавать для специальности Информационная безопасность?," ""Математика и информатика.""","IT, Образовательные программы"
108,Какие профильные предметы необходимо сдавать для поступления на специальность Коммуникации и коммуникационные технологии?," ""Математика и физика.""",Общая информация
109,"Какие предметы стоит выбрать для сдачи ЕНТ, если я хочу поступить на программу по Менеджменту и управлению?"," ""Математика и география.""","Образовательные программы, Учебный процесс"
110,"Какие предметы я должен выбрать для сдачи ЕНТ, если моя цель - программа по Электротехнике и автоматике?"," ""Математика и физика.""",Прочее
111,Какие предметы для Информационной безопасности?," ""Математика и информатика.""","IT, Образовательные программы"
112,ЕНТ предметы для Коммуникаций?," ""Математика и физика.""",Общая информация
113,Профильные предметы для Менеджмента?," ""Математика и география.""","Образовательные программы, Учебный процесс"
114,Что сдавать для Электротехники?," ""Математика и физика.""",Прочее
115,Предметы ЕНТ для IT?," ""Математика и информатика.""",IT
122,Какие карьерные возможности у специальности Mathematical & Computational Science (Математические и вычислительные науки)?," ""После получения образования по этой специальности",Карьера
133,Кем можно стать окончив Software Engineering (Программная инженерия)?,Карьерные возможности после окончания бакалавриата на специальность Software Engineering (Программная инженерия):\n— Инженер-программист\n— Разработчик программного обеспечения\n— Back-end и front-end разработчик\n— Веб-разработчик\n— Тестировщик программного обеспечения\n— Менеджер и архитектор ИТ систем и проектов\n— Мобильный разработчик.,Прочее
134,Кем можно стать окончив Computer Science (Компьютерные науки)?,Карьерные возможности после окончания бакалавриата на специальность Computer Science (Компьютерные науки):\n— Специалист по разработке программного обеспечения\n— Специалист по сопровождению компьютерных систем\n— Специалист по разработке и продвижению мобильных приложений\n— ИТ инженер или Специалист по серверному оборудованию\n— Менеджер ИТ-систем\n— Архитекторы информационных систем.,Прочее
135,Кем можно стать окончив Big Data Analysis (Анализ больших данных)?,"Карьерные возможности после окончания бакалавриата на специальность Big Data Analysis (Анализ больших данных):\n— Аналитик в крупных научных, исследовательских и консалтинговых проектах\n— Специалист по машинному обучению\n— Специалист по анализу данных\n— Аналитик в крупных областях промышленности, ритейле, в логистических компаниях аналитик бизнеса\n— Аналитик в банковской сфере, в телекоммуникациях, государственном секторе.",Прочее
136,Кем можно стать окончив Media Technologies (Медиа технологии)?,Карьерные возможности после окончания бакалавриата на специальность Media Technologies (Медиа технологии):\n— Арт-директор\n— Медиа-аналитик\n— Менеджер по цифровым коммуникациям\n— Продюсер проектов в секторе информационных технологий и средств массовой информации\n— Режиссер цифрового контента и средств массовой информации.,Прочее
137,Кем можно стать окончив Mathematical & Computational Science (Математические и вычислительные науки)?,Карьерные возможности после окончания бакалавриата на специальность Mathematical & Computational Science (Математические и вычислительные науки):\nПо завершении программы обучающиеся получат квалификации:\nIT разработчик\nData Scientist\nНаучный сотрудник\nИнженер-вычислитель\nИнфлюенсер\nАналитик социальных сетей,Прочее
138,Кем можно стать окончив Cybersecurity (Кибербезопасность)?,По завершении программы обучающиеся получат квалификации:\n-Специалист по кибербезопасности\n-Специалист по информационной безопасности\n-Инженер по защите информации\n-Специалист программно-аппаратной защиты информации\n-Специалист SAP\n-Анти-фрод аналитик\n-Специалист по реверс-инжинирингу или аналитик кода\n-Разработчик системы защиты информации\n-IT Entrepreneurship (IT предпринимательство)\n-Специалист по форензике или расследованию кибер-преступлений\n-Пентестер.,Прочее
139,Кем можно стать окончив Smart Technologies?,По завершении программы обучающиеся получат квалификации:\n— Менеджер IT проектов.\n— IT Директор.\n— Директор Офиса системы управления знаниями CKO (Chief Knowledge Officer).\n— Директор информационного офиса.,Прочее
140,Кем можно стать окончив Industrial Internet of Things (Промышленный интернет вещей)?,"Карьерные пути, связанные с Industrial Internet of Things (IIoT), включают:\nИнженер по разработке систем IIoT.\nСпециалист по внедрению IIoT.\nАналитик данных IIoT.\nСпециалист по кибербезопасности IIoT.\nМенеджер проектов IIoT.\nКонсультант IIoT.",Прочее
141,Кем можно стать окончив IT Management (IT менеджмент)?,"Карьерные пути, связанные с IT Management (IT менеджмент), включают:\n— Менеджер IT проектов.\n— IT Директор.\n— Директор Офиса системы управления знаниями CKO (Chief Knowledge Officer).\n— Директор информационного офиса.",Прочее
142,Кем можно стать окончив IT Entrepreneurship (IT предпринимательство)?,"Карьерные пути, связанные с IT Entrepreneurship (IT предпринимательство), включают:\n— Предприниматель\n— Проектный менеджер\n— Бизнесмен\n— Менеджер продуктов\n— Маркетолог\n— Бизнес-аналитик\n— Менеджер по управлению онлайн-продажами\n— Персональный бренд-менеджер\n— Форсайтер\n— Front-End разработчик\n— Системный администратор/аналитик",Прочее
143,Кем можно стать окончив Digital Journalism (Цифровая журналистика)?,"Карьерные пути, связанные с Digital Journalism (Цифровая журналистика), включают:\n- Корреспондент, специальный корреспондент средств массовой информации\n- Редактор отдела, редактор СМИ\n- Модератор сайта / администратор SMM\n- Продюсер / копирайтер контента\n- Журналист-аналитик\n- Редактор, главный редактор электронных, цифровых медиа\n- Ведущий журналист новостных каналов в интернет пространстве.",Прочее
